timestamp,max_depth,min_samples_split,fold,mean_acc,mean_f1,mean_time
2025-10-31 10:53:53,5,2,1,0.8196,0.8142,7.22
2025-10-31 10:54:00,5,2,2,0.8402,0.8286,7.35
2025-10-31 10:54:08,5,2,3,0.8093,0.7915,7.34
2025-10-31 10:54:17,5,2,4,0.7732,0.7631,9.12
2025-10-31 10:54:25,5,2,5,0.7784,0.7471,8.06
2025-10-31 10:54:33,5,2,6,0.768,0.7576,8.0
2025-10-31 10:54:40,5,2,7,0.6839,0.6808,7.61
2025-10-31 10:54:49,5,2,8,0.7098,0.6754,8.02
2025-10-31 10:54:57,5,2,9,0.7358,0.7378,8.43
2025-10-31 10:55:05,5,2,10,0.7876,0.7656,8.24
2025-10-31 10:55:13,5,5,1,0.8196,0.8142,8.09
2025-10-31 10:55:22,5,5,2,0.8402,0.8286,8.73
2025-10-31 10:55:30,5,5,3,0.8093,0.7915,8.37
2025-10-31 10:55:38,5,5,4,0.7732,0.7631,8.03
2025-10-31 10:55:46,5,5,5,0.7784,0.7471,7.63
2025-10-31 10:55:54,5,5,6,0.768,0.7576,8.21
2025-10-31 10:56:02,5,5,7,0.6839,0.6808,7.91
2025-10-31 10:56:11,5,5,8,0.7098,0.6754,8.27
2025-10-31 10:56:19,5,5,9,0.7358,0.7378,8.86
2025-10-31 10:56:28,5,5,10,0.7876,0.7656,8.53
2025-10-31 10:56:36,5,7,1,0.8196,0.8142,7.61
2025-10-31 10:56:43,5,7,2,0.8402,0.8286,7.55
2025-10-31 10:56:51,5,7,3,0.8093,0.7915,7.81
2025-10-31 10:56:58,5,7,4,0.7732,0.7631,7.41
2025-10-31 10:57:06,5,7,5,0.7784,0.7471,7.34
2025-10-31 10:57:14,5,7,6,0.768,0.7576,7.79
2025-10-31 10:57:22,5,7,7,0.6839,0.6808,8.15
2025-10-31 10:57:30,5,7,8,0.7098,0.6754,8.1
2025-10-31 10:57:38,5,7,9,0.7358,0.7378,8.29
2025-10-31 10:57:47,5,7,10,0.7876,0.7656,9.26
2025-10-31 10:57:56,5,10,1,0.8196,0.8142,8.69
2025-10-31 10:58:04,5,10,2,0.8402,0.8286,7.48
2025-10-31 10:58:11,5,10,3,0.8093,0.7915,7.19
2025-10-31 10:58:19,5,10,4,0.7732,0.7631,7.75
2025-10-31 10:58:27,5,10,5,0.7784,0.7471,8.49
2025-10-31 10:58:35,5,10,6,0.768,0.7576,7.43
2025-10-31 10:58:42,5,10,7,0.6839,0.6808,7.45
2025-10-31 10:58:50,5,10,8,0.7098,0.6754,7.65
2025-10-31 10:58:57,5,10,9,0.7358,0.7378,7.54
2025-10-31 10:59:05,5,10,10,0.7876,0.7656,7.48
2025-10-31 10:59:15,7,2,1,0.8299,0.8266,10.44
2025-10-31 10:59:25,7,2,2,0.8196,0.8054,10.11
2025-10-31 10:59:36,7,2,3,0.8608,0.8498,10.57
2025-10-31 10:59:46,7,2,4,0.7887,0.7803,10.14
2025-10-31 10:59:57,7,2,5,0.7887,0.7599,10.44
2025-10-31 11:00:07,7,2,6,0.7938,0.7902,10.41
2025-10-31 11:00:17,7,2,7,0.7565,0.7585,10.18
2025-10-31 11:00:28,7,2,8,0.7461,0.7167,10.39
2025-10-31 11:00:38,7,2,9,0.7668,0.7676,10.54
2025-10-31 11:00:49,7,2,10,0.8083,0.7883,10.44
2025-10-31 11:00:59,7,5,1,0.8299,0.8266,10.35
2025-10-31 11:01:09,7,5,2,0.8196,0.8054,10.29
2025-10-31 11:01:21,7,5,3,0.8557,0.844,11.35
2025-10-31 11:01:31,7,5,4,0.7887,0.7803,10.24
2025-10-31 11:01:42,7,5,5,0.7938,0.7663,10.73
2025-10-31 11:01:53,7,5,6,0.7938,0.7902,10.96
2025-10-31 11:02:03,7,5,7,0.7565,0.7585,10.38
2025-10-31 11:02:14,7,5,8,0.7461,0.7167,11.1
2025-10-31 11:02:25,7,5,9,0.7668,0.7676,10.88
2025-10-31 11:02:35,7,5,10,0.8083,0.7883,10.33
2025-10-31 11:02:47,7,7,1,0.8299,0.8266,11.31
2025-10-31 11:02:58,7,7,2,0.8196,0.8054,10.92
2025-10-31 11:03:09,7,7,3,0.8454,0.8325,10.97
2025-10-31 11:03:19,7,7,4,0.7835,0.7745,10.55
2025-10-31 11:03:30,7,7,5,0.7938,0.7663,10.6
2025-10-31 11:03:41,7,7,6,0.8041,0.8001,10.82
2025-10-31 11:03:52,7,7,7,0.7513,0.7531,11.06
2025-10-31 11:04:02,7,7,8,0.7358,0.7069,10.51
