timestamp,n_estimators,max_depth,min_samples_split,fold,mean_acc,mean_f1,mean_time
2025-10-31 14:24:54,5,5,2,1,0.7165,0.7138,4.82
2025-10-31 14:24:59,5,5,2,2,0.7732,0.7651,5.09
2025-10-31 14:25:04,5,5,2,3,0.7629,0.7402,4.77
2025-10-31 14:25:09,5,5,2,4,0.701,0.6861,5.28
2025-10-31 14:25:15,5,5,2,5,0.7371,0.6929,5.86
2025-10-31 14:25:21,5,5,2,6,0.6804,0.6609,5.63
2025-10-31 14:25:26,5,5,2,7,0.7409,0.7343,5.16
2025-10-31 14:25:30,5,5,2,8,0.7202,0.6907,4.68
2025-10-31 14:25:36,5,5,2,9,0.6839,0.6835,5.01
2025-10-31 14:25:40,5,5,2,10,0.6632,0.6234,4.95
2025-10-31 14:25:46,5,5,5,1,0.7216,0.7209,5.25
2025-10-31 14:25:51,5,5,5,2,0.7887,0.7601,5.2
2025-10-31 14:25:56,5,5,5,3,0.7216,0.6968,5.2
2025-10-31 14:26:01,5,5,5,4,0.7113,0.6905,5.27
2025-10-31 14:26:07,5,5,5,5,0.7474,0.7386,5.08
2025-10-31 14:26:11,5,5,5,6,0.701,0.6789,4.79
2025-10-31 14:26:16,5,5,5,7,0.6788,0.6425,5.07
2025-10-31 14:26:22,5,5,5,8,0.7202,0.6736,5.59
2025-10-31 14:32:02,5,5,2,1,0.7165,0.7138,4.85
2025-10-31 14:32:07,5,5,2,2,0.7732,0.7651,5.33
2025-10-31 14:32:13,5,5,2,3,0.7629,0.7402,5.81
2025-10-31 14:32:18,5,5,2,4,0.701,0.6861,5.07
2025-10-31 14:32:23,5,5,2,5,0.7371,0.6929,5.09
2025-10-31 14:32:29,5,5,2,6,0.6804,0.6609,5.65
2025-10-31 14:32:34,5,5,2,7,0.7409,0.7343,5.38
2025-10-31 14:32:39,5,5,2,8,0.7202,0.6907,4.89
2025-10-31 14:32:45,5,5,2,9,0.6839,0.6835,5.26
2025-10-31 14:32:50,5,5,2,10,0.6632,0.6234,5.43
2025-10-31 14:32:55,5,5,5,1,0.7216,0.7209,5.28
2025-10-31 14:33:01,5,5,5,2,0.7887,0.7601,5.33
2025-10-31 14:33:06,5,5,5,3,0.7216,0.6968,5.15
2025-10-31 14:33:11,5,5,5,4,0.7113,0.6905,5.2
2025-10-31 14:33:16,5,5,5,5,0.7474,0.7386,4.99
2025-10-31 14:33:21,5,5,5,6,0.701,0.6789,4.94
2025-10-31 14:33:26,5,5,5,7,0.6788,0.6425,5.12
2025-10-31 14:33:32,5,5,5,8,0.7202,0.6736,5.58
2025-10-31 14:33:37,5,5,5,9,0.6995,0.6899,5.08
2025-10-31 14:33:42,5,5,5,10,0.7461,0.716,5.39
2025-10-31 14:33:48,5,5,10,1,0.6856,0.6685,5.92
2025-10-31 14:33:54,5,5,10,2,0.8454,0.8382,5.77
2025-10-31 14:34:00,5,5,10,3,0.7371,0.6962,5.58
2025-10-31 14:34:05,5,5,10,4,0.6959,0.6655,5.7
2025-10-31 14:34:11,5,5,10,5,0.732,0.6968,5.38
2025-10-31 14:34:16,5,5,10,6,0.732,0.7163,5.16
2025-10-31 14:34:22,5,5,10,7,0.7202,0.7029,6.14
2025-10-31 14:34:28,5,5,10,8,0.6736,0.6286,6.21
2025-10-31 14:34:35,5,5,10,9,0.6891,0.6858,6.3
2025-10-31 14:34:41,5,5,10,10,0.7047,0.6404,6.5
2025-10-31 14:34:51,5,10,2,1,0.8093,0.8098,9.58
2025-10-31 14:35:00,5,10,2,2,0.866,0.8585,8.97
2025-10-31 14:35:09,5,10,2,3,0.7732,0.7612,9.25
2025-10-31 14:35:18,5,10,2,4,0.799,0.7975,9.33
2025-10-31 14:35:27,5,10,2,5,0.8041,0.7885,8.39
2025-10-31 14:35:35,5,10,2,6,0.8041,0.8027,8.04
2025-10-31 14:35:43,5,10,2,7,0.7409,0.744,8.34
2025-10-31 14:35:52,5,10,2,8,0.7824,0.758,9.0
2025-10-31 14:36:01,5,10,2,9,0.8187,0.8207,9.18
2025-10-31 14:36:11,5,10,2,10,0.772,0.761,9.93
2025-10-31 14:36:20,5,10,5,1,0.7577,0.7674,9.1
2025-10-31 14:36:30,5,10,5,2,0.8247,0.8117,9.13
2025-10-31 14:36:38,5,10,5,3,0.7784,0.7632,8.83
2025-10-31 14:36:48,5,10,5,4,0.7887,0.7815,9.46
2025-10-31 14:36:57,5,10,5,5,0.8299,0.8181,9.15
2025-10-31 14:37:06,5,10,5,6,0.7629,0.7634,8.46
2025-10-31 14:37:15,5,10,5,7,0.7513,0.7549,9.05
2025-10-31 14:37:23,5,10,5,8,0.772,0.7477,8.56
2025-10-31 14:37:32,5,10,5,9,0.7565,0.7615,8.7
2025-10-31 14:37:41,5,10,5,10,0.772,0.7586,8.74
2025-10-31 14:37:49,5,10,10,1,0.7835,0.7867,8.73
2025-10-31 14:37:58,5,10,10,2,0.8144,0.8037,8.63
2025-10-31 14:38:07,5,10,10,3,0.8196,0.8095,8.79
2025-10-31 14:38:16,5,10,10,4,0.8144,0.814,9.46
2025-10-31 14:38:25,5,10,10,5,0.7835,0.7648,9.05
2025-10-31 14:38:34,5,10,10,6,0.799,0.7983,8.53
2025-10-31 14:38:45,5,10,10,7,0.7927,0.7981,10.55
2025-10-31 14:38:53,5,10,10,8,0.7772,0.7562,8.67
2025-10-31 14:39:02,5,10,10,9,0.7358,0.7433,8.37
2025-10-31 14:39:10,5,10,10,10,0.8083,0.7921,8.73
2025-10-31 14:39:20,5,15,2,1,0.7577,0.7697,9.74
2025-10-31 14:39:30,5,15,2,2,0.8144,0.7994,9.91
2025-10-31 14:39:39,5,15,2,3,0.8299,0.8232,9.26
2025-10-31 14:39:48,5,15,2,4,0.8247,0.8213,8.82
2025-10-31 14:39:57,5,15,2,5,0.8247,0.8141,8.93
2025-10-31 14:40:07,5,15,2,6,0.8093,0.8083,9.7
2025-10-31 14:40:16,5,15,2,7,0.7824,0.7849,9.44
2025-10-31 14:40:26,5,15,2,8,0.8083,0.7867,9.6
2025-10-31 14:40:35,5,15,2,9,0.7927,0.8087,9.49
2025-10-31 14:40:45,5,15,2,10,0.8342,0.8286,9.17
2025-10-31 14:40:55,5,15,5,1,0.7474,0.7578,10.07
2025-10-31 14:41:04,5,15,5,2,0.8299,0.8219,9.19
2025-10-31 14:41:14,5,15,5,3,0.8505,0.8447,9.88
