timestamp,n_estimators,max_depth,fold,acc,f1,time
2025-10-31 13:43:48,50,5,1,0.8196,0.8233,0.14
2025-10-31 13:43:49,50,5,2,0.8557,0.8454,0.13
2025-10-31 13:43:49,50,5,3,0.8814,0.8715,0.13
2025-10-31 13:43:49,50,5,4,0.8299,0.8274,0.14
2025-10-31 13:43:49,50,5,5,0.8608,0.8488,0.13
2025-10-31 13:43:49,50,5,6,0.8351,0.833,0.13
2025-10-31 13:43:49,50,5,7,0.7876,0.7907,0.16
2025-10-31 13:43:50,50,5,8,0.8031,0.7811,0.12
2025-10-31 13:43:50,50,5,9,0.8135,0.8212,0.12
2025-10-31 13:43:50,50,5,10,0.8135,0.7969,0.13
2025-10-31 13:43:50,50,10,1,0.8711,0.8774,0.14
2025-10-31 13:43:50,50,10,2,0.9175,0.9143,0.14
2025-10-31 13:43:51,50,10,3,0.9227,0.917,0.14
2025-10-31 13:43:51,50,10,4,0.8608,0.8614,0.15
2025-10-31 13:43:51,50,10,5,0.8969,0.888,0.14
2025-10-31 13:43:51,50,10,6,0.8866,0.8861,0.13
2025-10-31 13:43:52,50,10,7,0.8497,0.8585,0.15
2025-10-31 13:43:52,50,10,8,0.8394,0.8221,0.15
2025-10-31 13:43:52,50,10,9,0.886,0.8931,0.14
2025-10-31 13:43:52,50,10,10,0.8497,0.8386,0.14
2025-10-31 13:43:52,50,15,1,0.8918,0.8975,0.15
2025-10-31 13:43:53,50,15,2,0.9124,0.9089,0.15
2025-10-31 13:43:53,50,15,3,0.9227,0.917,0.15
2025-10-31 13:43:53,50,15,4,0.8505,0.8518,0.15
2025-10-31 13:43:53,50,15,5,0.9072,0.8986,0.14
2025-10-31 13:43:53,50,15,6,0.8866,0.8862,0.15
2025-10-31 13:43:54,50,15,7,0.8446,0.8537,0.13
2025-10-31 13:43:54,50,15,8,0.8549,0.8405,0.15
2025-10-31 13:43:54,50,15,9,0.8964,0.905,0.14
2025-10-31 13:43:54,50,15,10,0.8601,0.8498,0.14
2025-10-31 13:43:54,50,20,1,0.8866,0.8924,0.15
2025-10-31 13:43:55,50,20,2,0.9278,0.9249,0.14
2025-10-31 13:43:55,50,20,3,0.9227,0.917,0.15
2025-10-31 13:43:55,50,20,4,0.8505,0.8518,0.13
2025-10-31 13:43:55,50,20,5,0.9072,0.8981,0.13
2025-10-31 13:43:55,50,20,6,0.8918,0.8914,0.15
2025-10-31 13:43:56,50,20,7,0.8549,0.8643,0.14
2025-10-31 13:43:56,50,20,8,0.8549,0.8405,0.14
2025-10-31 13:43:56,50,20,9,0.8912,0.8999,0.16
2025-10-31 13:43:56,50,20,10,0.8601,0.8503,0.14
2025-10-31 13:43:57,100,5,1,0.8454,0.849,0.22
2025-10-31 13:43:57,100,5,2,0.8608,0.8511,0.23
2025-10-31 13:43:57,100,5,3,0.8814,0.8722,0.23
2025-10-31 13:43:57,100,5,4,0.8299,0.8279,0.23
2025-10-31 13:43:58,100,5,5,0.8557,0.8431,0.22
2025-10-31 13:43:58,100,5,6,0.8454,0.8421,0.24
2025-10-31 13:43:58,100,5,7,0.7876,0.7914,0.21
2025-10-31 13:43:59,100,5,8,0.7876,0.7651,0.23
2025-10-31 13:43:59,100,5,9,0.8187,0.8262,0.22
2025-10-31 13:43:59,100,5,10,0.8083,0.7866,0.22
2025-10-31 13:43:59,100,10,1,0.8866,0.8923,0.25
2025-10-31 13:44:00,100,10,2,0.9227,0.9198,0.24
2025-10-31 13:44:00,100,10,3,0.9175,0.9116,0.25
2025-10-31 13:44:00,100,10,4,0.8351,0.835,0.25
2025-10-31 13:44:01,100,10,5,0.9021,0.8924,0.26
2025-10-31 13:44:01,100,10,6,0.8866,0.8861,0.26
2025-10-31 13:44:01,100,10,7,0.8497,0.8585,0.24
2025-10-31 13:44:02,100,10,8,0.8394,0.8238,0.25
2025-10-31 13:44:02,100,10,9,0.8601,0.8678,0.24
2025-10-31 13:44:02,100,10,10,0.8601,0.8484,0.25
2025-10-31 13:44:03,100,15,1,0.8866,0.8924,0.26
2025-10-31 13:44:03,100,15,2,0.9175,0.9143,0.26
2025-10-31 13:44:03,100,15,3,0.9175,0.9116,0.25
2025-10-31 13:44:04,100,15,4,0.8608,0.862,0.28
2025-10-31 13:44:04,100,15,5,0.9175,0.9097,0.26
2025-10-31 13:44:04,100,15,6,0.8814,0.881,0.25
2025-10-31 13:44:05,100,15,7,0.8549,0.8642,0.27
2025-10-31 13:44:05,100,15,8,0.8446,0.8298,0.26
2025-10-31 13:44:05,100,15,9,0.886,0.8948,0.27
2025-10-31 13:44:06,100,15,10,0.8601,0.8498,0.27
2025-10-31 13:44:06,100,20,1,0.8969,0.9023,0.25
2025-10-31 13:44:06,100,20,2,0.9021,0.8986,0.25
2025-10-31 13:44:07,100,20,3,0.9124,0.9058,0.26
2025-10-31 13:44:07,100,20,4,0.8557,0.8569,0.27
2025-10-31 13:44:07,100,20,5,0.9124,0.904,0.25
2025-10-31 13:44:08,100,20,6,0.8969,0.8969,0.26
2025-10-31 13:44:08,100,20,7,0.8549,0.8643,0.26
2025-10-31 13:44:09,100,20,8,0.8497,0.8352,0.25
2025-10-31 13:44:09,100,20,9,0.9016,0.9091,0.26
2025-10-31 13:44:09,100,20,10,0.8653,0.855,0.24
2025-10-31 13:44:10,150,5,1,0.8402,0.8442,0.32
2025-10-31 13:44:10,150,5,2,0.8557,0.8467,0.32
2025-10-31 13:44:10,150,5,3,0.8711,0.8605,0.32
2025-10-31 13:44:11,150,5,4,0.8196,0.8164,0.33
2025-10-31 13:44:11,150,5,5,0.8505,0.8369,0.32
2025-10-31 13:44:12,150,5,6,0.8454,0.8421,0.33
2025-10-31 13:44:12,150,5,7,0.7824,0.7864,0.32
2025-10-31 13:44:12,150,5,8,0.7979,0.7736,0.33
2025-10-31 13:44:13,150,5,9,0.8135,0.8177,0.33
2025-10-31 13:44:13,150,5,10,0.829,0.8107,0.32
2025-10-31 13:44:14,150,10,1,0.8814,0.8873,0.37
2025-10-31 13:44:14,150,10,2,0.9278,0.925,0.36
2025-10-31 13:44:15,150,10,3,0.9175,0.9116,0.37
2025-10-31 13:44:15,150,10,4,0.8454,0.846,0.38
2025-10-31 13:44:16,150,10,5,0.9021,0.8929,0.38
2025-10-31 13:44:16,150,10,6,0.8969,0.8965,0.36
2025-10-31 13:44:17,150,10,7,0.8601,0.8682,0.36
2025-10-31 13:44:17,150,10,8,0.8342,0.816,0.39
2025-10-31 13:44:18,150,10,9,0.8549,0.8628,0.38
2025-10-31 13:44:18,150,10,10,0.8601,0.8498,0.39
2025-10-31 13:44:19,150,15,1,0.8918,0.8973,0.38
2025-10-31 13:44:19,150,15,2,0.9278,0.925,0.34
