timestamp,max_depth,min_samples_split,mean_acc,mean_f1,mean_time
2025-10-31 10:55:05,5,2,0.7706,0.7562,7.94
2025-10-31 10:56:28,5,5,0.7706,0.7562,8.26
2025-10-31 10:57:47,5,7,0.7706,0.7562,7.93
2025-10-31 10:59:05,5,10,0.7706,0.7562,7.72
2025-10-31 11:00:49,7,2,0.7959,0.7843,10.37
2025-10-31 11:02:35,7,5,0.7959,0.7844,10.66
2025-10-31 11:04:26,7,7,0.7933,0.7817,11.06
2025-10-31 11:06:18,7,10,0.7897,0.7778,11.15
2025-10-31 11:08:38,10,2,0.8321,0.8286,13.97
2025-10-31 11:10:56,10,5,0.8321,0.8285,13.81
2025-10-31 11:13:07,10,7,0.83,0.827,13.1
2025-10-31 11:15:22,10,10,0.8254,0.822,13.43
2025-10-31 11:17:43,13,2,0.8362,0.8331,14.09
2025-10-31 11:20:03,13,5,0.8347,0.8316,14.0
2025-10-31 11:22:24,13,7,0.8295,0.827,14.08
2025-10-31 11:24:50,13,10,0.8243,0.8217,14.66
2025-10-31 11:27:24,15,2,0.8362,0.8331,15.36
2025-10-31 11:29:56,15,5,0.8357,0.8328,15.18
2025-10-31 11:32:28,15,7,0.83,0.8276,15.11
2025-10-31 11:34:59,15,10,0.8248,0.8223,15.11
2025-10-31 11:37:24,17,2,0.8362,0.8331,14.44
2025-10-31 11:39:53,17,5,0.8357,0.8328,14.94
2025-10-31 11:42:23,17,7,0.83,0.8276,14.98
2025-10-31 11:44:43,17,10,0.8248,0.8223,13.97
2025-10-31 11:46:59,20,2,0.8362,0.8331,13.64
2025-10-31 11:49:15,20,5,0.8357,0.8328,13.58
2025-10-31 11:51:31,20,7,0.83,0.8276,13.51
2025-10-31 11:53:45,20,10,0.8248,0.8223,13.38
