timestamp,max_depth,min_samples_split,mean_acc,mean_f1,mean_time
2025-10-30 21:03:55,5,2,0.7635,0.7535,0.01
2025-10-30 21:03:56,5,5,0.7624,0.7524,0.01
2025-10-30 21:03:56,5,7,0.7629,0.753,0.01
2025-10-30 21:03:56,5,10,0.7624,0.7522,0.01
2025-10-30 21:03:57,7,2,0.8182,0.8128,0.02
2025-10-30 21:03:57,7,5,0.8167,0.811,0.01
2025-10-30 21:03:57,7,7,0.8146,0.8087,0.01
2025-10-30 21:03:57,7,10,0.8094,0.8034,0.02
2025-10-30 21:03:58,10,2,0.8249,0.8213,0.02
2025-10-30 21:03:58,10,5,0.8166,0.8131,0.02
2025-10-30 21:03:59,10,7,0.8197,0.8163,0.02
2025-10-30 21:03:59,10,10,0.812,0.808,0.02
2025-10-30 21:03:59,13,2,0.8378,0.8356,0.02
2025-10-30 21:04:00,13,5,0.8316,0.829,0.02
2025-10-30 21:04:00,13,7,0.8259,0.8237,0.02
2025-10-30 21:04:00,13,10,0.8177,0.8152,0.02
2025-10-30 21:04:01,15,2,0.8414,0.8393,0.02
2025-10-30 21:04:01,15,5,0.8352,0.8326,0.02
2025-10-30 21:04:02,15,7,0.8233,0.8212,0.02
2025-10-30 21:04:02,15,10,0.8182,0.8158,0.02
2025-10-30 21:04:02,17,2,0.8425,0.8408,0.02
2025-10-30 21:04:03,17,5,0.8316,0.8293,0.02
2025-10-30 21:04:03,17,7,0.8213,0.8193,0.02
2025-10-30 21:04:03,17,10,0.8177,0.8154,0.02
2025-10-30 21:04:04,20,2,0.8358,0.8339,0.02
2025-10-30 21:04:04,20,5,0.827,0.8247,0.02
2025-10-30 21:04:05,20,7,0.8259,0.8243,0.02
2025-10-30 21:04:05,20,10,0.8182,0.8162,0.02
2025-10-30 21:08:59,5,2,0.7635,0.7535,0.01
2025-10-30 21:08:59,5,5,0.7624,0.7524,0.01
2025-10-30 21:09:00,5,7,0.7629,0.753,0.01
2025-10-30 21:09:00,5,10,0.7624,0.7522,0.01
2025-10-30 21:09:00,7,2,0.8182,0.8128,0.01
2025-10-30 21:09:01,7,5,0.8167,0.811,0.01
2025-10-30 21:09:01,7,7,0.8146,0.8087,0.02
2025-10-30 21:09:01,7,10,0.8094,0.8034,0.02
2025-10-30 21:09:02,10,2,0.8249,0.8213,0.02
2025-10-30 21:09:02,10,5,0.8166,0.8131,0.02
2025-10-30 21:09:02,10,7,0.8197,0.8163,0.02
2025-10-30 21:09:03,10,10,0.812,0.808,0.02
2025-10-30 21:09:03,13,2,0.8378,0.8356,0.02
2025-10-30 21:09:03,13,5,0.8316,0.829,0.02
2025-10-30 21:09:04,13,7,0.8259,0.8237,0.02
2025-10-30 21:09:04,13,10,0.8177,0.8152,0.02
2025-10-30 21:09:04,15,2,0.8414,0.8393,0.02
2025-10-30 21:09:05,15,5,0.8352,0.8326,0.02
2025-10-30 21:09:05,15,7,0.8233,0.8212,0.02
2025-10-30 21:09:06,15,10,0.8182,0.8158,0.02
2025-10-30 21:09:06,17,2,0.8425,0.8408,0.02
2025-10-30 21:09:06,17,5,0.8316,0.8293,0.02
2025-10-30 21:09:07,17,7,0.8213,0.8193,0.02
2025-10-30 21:09:07,17,10,0.8177,0.8154,0.02
2025-10-30 21:09:07,20,2,0.8358,0.8339,0.02
2025-10-30 21:09:08,20,5,0.827,0.8247,0.02
2025-10-30 21:09:08,20,7,0.8259,0.8243,0.02
2025-10-30 21:09:08,20,10,0.8182,0.8162,0.02
