timestamp,n_neighbors,mean_acc,mean_f1,mean_time
2025-10-31 13:28:53,1,0.8523,0.8476,0.0
2025-10-31 13:28:54,3,0.8223,0.8146,0.0
2025-10-31 13:28:54,5,0.8202,0.812,0.0
2025-10-31 13:28:54,7,0.8042,0.7927,0.0
2025-10-31 13:28:55,9,0.7949,0.7821,0.0
2025-10-31 13:28:55,11,0.7799,0.7642,0.0
2025-10-31 13:28:56,13,0.7768,0.76,0.0
2025-10-31 13:28:56,15,0.7768,0.7587,0.0
2025-10-31 13:30:29,1,0.8523,0.8476,0.0
2025-10-31 13:30:30,3,0.8223,0.8146,0.0
2025-10-31 13:30:30,5,0.8202,0.812,0.0
2025-10-31 13:30:31,7,0.8042,0.7927,0.0
2025-10-31 13:30:31,9,0.7949,0.7821,0.0
2025-10-31 13:30:32,11,0.7799,0.7642,0.0
2025-10-31 13:30:32,13,0.7768,0.76,0.0
2025-10-31 13:30:33,15,0.7768,0.7587,0.0
