timestamp,n_estimators,max_depth,min_samples_split,mean_acc,mean_f1,mean_time
2025-10-31 14:25:40,5,5,2,0.7179,0.6991,5.12
2025-10-31 14:32:50,5,5,2,0.7179,0.6991,5.28
2025-10-31 14:33:42,5,5,5,0.7236,0.7008,5.21
2025-10-31 14:34:41,5,5,10,0.7215,0.6939,5.87
2025-10-31 14:36:11,5,10,2,0.797,0.7902,9.0
2025-10-31 14:37:41,5,10,5,0.7794,0.7728,8.92
2025-10-31 14:39:10,5,10,10,0.7928,0.7867,8.95
2025-10-31 14:40:45,5,15,2,0.8078,0.8045,9.4
2025-10-31 14:42:22,5,15,5,0.7856,0.7837,9.74
2025-10-31 14:43:57,5,15,10,0.8104,0.809,9.48
2025-10-31 14:45:37,5,20,2,0.798,0.7939,9.92
2025-10-31 14:47:12,5,20,5,0.8001,0.7973,9.52
2025-10-31 14:48:45,5,20,10,0.7804,0.7771,9.28
2025-10-31 14:50:28,10,5,2,0.7562,0.7312,10.28
2025-10-31 14:52:25,10,5,5,0.7453,0.7172,11.66
2025-10-31 14:54:07,10,5,10,0.7561,0.7357,10.15
2025-10-31 14:56:57,10,10,2,0.8187,0.8141,17.04
2025-10-31 14:59:44,10,10,5,0.8141,0.8088,16.69
2025-10-31 15:02:30,10,10,10,0.8187,0.8142,16.55
2025-10-31 15:05:32,10,15,2,0.8481,0.8462,18.16
2025-10-31 15:08:33,10,15,5,0.8352,0.8332,18.14
2025-10-31 15:11:29,10,15,10,0.8213,0.8187,17.56
2025-10-31 15:14:38,10,20,2,0.8295,0.8278,18.86
2025-10-31 15:18:06,10,20,5,0.8239,0.8213,20.78
2025-10-31 15:21:22,10,20,10,0.8259,0.8256,19.6
2025-10-31 15:24:58,20,5,2,0.7686,0.7445,21.59
2025-10-31 15:28:32,20,5,5,0.7665,0.7387,21.31
2025-10-31 15:32:05,20,5,10,0.7613,0.7406,21.34
2025-10-31 15:37:42,20,10,2,0.845,0.8412,33.59
2025-10-31 15:43:26,20,10,5,0.8533,0.8504,34.43
2025-10-31 15:49:24,20,10,10,0.8455,0.8425,35.72
2025-10-31 15:55:53,20,15,2,0.8512,0.8494,38.93
2025-10-31 16:02:26,20,15,5,0.8569,0.8556,39.26
2025-10-31 16:08:35,20,15,10,0.845,0.842,36.92
2025-10-31 16:15:09,20,20,2,0.8564,0.8549,39.29
2025-10-31 16:21:41,20,20,5,0.8481,0.8465,39.16
2025-10-31 16:27:56,20,20,10,0.8492,0.8467,37.53
2025-10-31 16:33:25,30,5,2,0.782,0.7625,32.88
2025-10-31 16:38:45,30,5,5,0.7856,0.7669,31.93
2025-10-31 16:43:40,30,5,10,0.7763,0.7567,29.49
2025-10-31 16:51:59,30,10,2,0.8636,0.8603,49.84
2025-10-31 17:00:03,30,10,5,0.8584,0.8561,48.41
2025-10-31 17:08:02,30,10,10,0.8579,0.8541,47.89
2025-10-31 17:17:08,30,15,2,0.8698,0.8681,54.57
2025-10-31 17:26:38,30,15,5,0.8595,0.8575,56.9
2025-10-31 17:35:40,30,15,10,0.8584,0.8575,54.18
2025-10-31 17:44:51,30,20,2,0.8497,0.8475,55.09
2025-10-31 17:53:41,30,20,5,0.8533,0.8524,52.91
2025-10-31 18:03:04,30,20,10,0.861,0.8594,56.3
