timestamp,C,kernel,mean_acc,mean_f1,mean_time
2025-10-31 20:05:19,0.1,linear,0.7825,0.7659,0.03
2025-10-31 20:05:20,0.1,rbf,0.7748,0.7579,0.05
2025-10-31 20:05:20,0.1,poly,0.6983,0.6919,0.04
2025-10-31 20:05:20,1,linear,0.8001,0.787,0.04
2025-10-31 20:05:21,1,rbf,0.8357,0.8294,0.03
2025-10-31 20:05:21,1,poly,0.8146,0.8035,0.03
2025-10-31 20:05:22,10,linear,0.8047,0.7929,0.12
2025-10-31 20:05:22,10,rbf,0.8559,0.8529,0.03
2025-10-31 20:05:22,10,poly,0.8404,0.8359,0.04
2025-10-31 21:09:46,0.1,linear,0.7825,0.7659,0.02
2025-10-31 21:09:46,0.1,rbf,0.7748,0.7579,0.04
2025-10-31 21:09:46,0.1,poly,0.6983,0.6919,0.03
2025-10-31 21:09:47,1,linear,0.8001,0.787,0.03
2025-10-31 21:09:47,1,rbf,0.8357,0.8294,0.03
2025-10-31 21:09:47,1,poly,0.8146,0.8035,0.03
2025-10-31 21:09:48,10,linear,0.8047,0.7929,0.11
2025-10-31 21:09:48,10,rbf,0.8559,0.8529,0.03
2025-10-31 21:09:48,10,poly,0.8404,0.8359,0.04
